dhs_cc,ctry_code,surv_id,file_type,phase,url
AO,AO,477,MR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOMR71FL.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm
AO,AO,569,MR,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOMR81FL.zip&Tp=1&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm
AO,AO,282,PR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOPR51FL.zip&Tp=1&Ctry_Code=AO&surv_id=282&dm=1&dmode=nm
AO,AO,395,PR,62,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOPR62FL.zip&Tp=1&Ctry_Code=AO&surv_id=395&dm=1&dmode=nm
AO,AO,477,PR,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOPR71FL.zip&Tp=1&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm
AO,AO,569,PR,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOPR81FL.zip&Tp=1&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm
AO,AO,282,GE,52,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOGE52FL.zip&Tp=2&Ctry_Code=AO&surv_id=282&dm=1&dmode=nm
AO,AO,395,GE,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOGE61FL.zip&Tp=2&Ctry_Code=AO&surv_id=395&dm=1&dmode=nm
AO,AO,477,GE,71,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOGE71FL.zip&Tp=2&Ctry_Code=AO&surv_id=477&dm=1&dmode=nm
AO,AO,569,GE,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AOGE81FL.zip&Tp=2&Ctry_Code=AO&surv_id=569&dm=1&dmode=nm
AM,AM,203,BR,42,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMBR42FL.zip&Tp=1&Ctry_Code=AM&surv_id=203&dm=1&dmode=nm
AM,AM,262,BR,54,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMBR54FL.zip&Tp=1&Ctry_Code=AM&surv_id=262&dm=1&dmode=nm
AM,AM,354,BR,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMBR61FL.zip&Tp=1&Ctry_Code=AM&surv_id=354&dm=1&dmode=nm
AM,AM,492,BR,72,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMBR72FL.zip&Tp=1&Ctry_Code=AM&surv_id=492&dm=1&dmode=nm
AM,AM,203,CR,42,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMCR42FL.zip&Tp=1&Ctry_Code=AM&surv_id=203&dm=1&dmode=nm
AM,AM,262,CR,52,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMCR52FL.zip&Tp=1&Ctry_Code=AM&surv_id=262&dm=1&dmode=nm
AM,AM,354,CR,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMCR61FL.zip&Tp=1&Ctry_Code=AM&surv_id=354&dm=1&dmode=nm
AM,AM,492,CR,72,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMCR72FL.zip&Tp=1&Ctry_Code=AM&surv_id=492&dm=1&dmode=nm
AM,AM,203,HR,42,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMHR42FL.zip&Tp=1&Ctry_Code=AM&surv_id=203&dm=1&dmode=nm
AM,AM,262,HR,54,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMHR54FL.zip&Tp=1&Ctry_Code=AM&surv_id=262&dm=1&dmode=nm
AM,AM,354,HR,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMHR61FL.zip&Tp=1&Ctry_Code=AM&surv_id=354&dm=1&dmode=nm
AM,AM,492,HR,72,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMHR72FL.zip&Tp=1&Ctry_Code=AM&surv_id=492&dm=1&dmode=nm
AM,AM,203,HW,41,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMHW41FL.zip&Tp=1&Ctry_Code=AM&surv_id=203&dm=1&dmode=nm
AM,AM,262,HW,52,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMHW52FL.zip&Tp=1&Ctry_Code=AM&surv_id=262&dm=1&dmode=nm
AM,AM,203,IR,42,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMIR42FL.zip&Tp=1&Ctry_Code=AM&surv_id=203&dm=1&dmode=nm
AM,AM,262,IR,54,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMIR54FL.zip&Tp=1&Ctry_Code=AM&surv_id=262&dm=1&dmode=nm
AM,AM,354,IR,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMIR61FL.zip&Tp=1&Ctry_Code=AM&surv_id=354&dm=1&dmode=nm
AM,AM,492,IR,72,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMIR72FL.zip&Tp=1&Ctry_Code=AM&surv_id=492&dm=1&dmode=nm
AM,AM,203,KR,42,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMKR42FL.zip&Tp=1&Ctry_Code=AM&surv_id=203&dm=1&dmode=nm
AM,AM,262,KR,54,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMKR54FL.zip&Tp=1&Ctry_Code=AM&surv_id=262&dm=1&dmode=nm
AM,AM,354,KR,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMKR61FL.zip&Tp=1&Ctry_Code=AM&surv_id=354&dm=1&dmode=nm
AM,AM,492,KR,72,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMKR72FL.zip&Tp=1&Ctry_Code=AM&surv_id=492&dm=1&dmode=nm
AM,AM,203,MR,41,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMMR41FL.zip&Tp=1&Ctry_Code=AM&surv_id=203&dm=1&dmode=nm
AM,AM,262,MR,52,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMMR52FL.zip&Tp=1&Ctry_Code=AM&surv_id=262&dm=1&dmode=nm
AM,AM,354,MR,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMMR61FL.zip&Tp=1&Ctry_Code=AM&surv_id=354&dm=1&dmode=nm
AM,AM,492,MR,72,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMMR72FL.zip&Tp=1&Ctry_Code=AM&surv_id=492&dm=1&dmode=nm
AM,AM,203,PR,42,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMPR42FL.zip&Tp=1&Ctry_Code=AM&surv_id=203&dm=1&dmode=nm
AM,AM,262,PR,54,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMPR54FL.zip&Tp=1&Ctry_Code=AM&surv_id=262&dm=1&dmode=nm
AM,AM,354,PR,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=AMPR61FL.zip&Tp=1&Ctry_Code=AM&surv_id=354&dm=1&dmode=nm
